country_id	party	party_id	cee	ches_id	family	cmp_id	parlgov_id	manichean	indivisble	generalwill	peoplecentrism	antielitism	complex	emotional	lroverall	lrecon	immigration	eu	nativism	laworder	lifestyle	intradem	personalised	nr_experts	mean_expert_response	populism
4.0	"BBZ"	407.0	1	2015	9	80630	2362	5.5	6.4	6.8	6.3333335	5.6666665	4.5	6.1666665	7.5	6.6666665	3.0	5.8	5.4	5.4	4.0		7.1666665	6.0	5.1875	5.891542
4.0	"VMRO"	408.0	1	2005	2		2212	7.0	6.1666665	8.5	7.3333335	7.1666665	3.6666667	8.666667	7.6666665	4.8333335	2.0	3.0	9.666667	9.0	0.6666667	2.25	7.0	6.0	5.875	7.83833
4.0	"Ataka"	409.0	1	2007	1	80710	535	8.166667	6.0	8.833333	7.8333335	7.6	3.5	9.166667	7.8333335	2.5	2.0	1.6666666	9.5	9.0	0.16666667	1.4	8.833333	6.0	5.875	8.562113
4.0	"ABV"	410.0	1	2016	5	80330	2364	5.4	2.2	4.6666665	5.2	6.0	5.2	5.1666665	3.8333333	3.0	3.0	5.5	4.5	6.6	3.8333333	1.75	8.166667	6.0	5.5	4.094742
5.0	"HDZ"	501.0	1	3101	4	81711	276	4.625	5.625	5.5	2.875	2.375	5.75	7.428571	7.375	5.125	2.625	7.875	8.5	7.5	2.5	3.625	7.375	8.0	7.9375	3.189796
5.0	"HSLS"	502.0	1	3104	3	81410	1102	4.125	2.875	3.25	1.875	1.625	6.875	2.4285715	5.375	6.0	5.3333335	8.428572	4.0	3.5	5.875	3.4285715	5.0	8.0	7.6875	1.1302036
5.0	"SDP"	503.0	1	3102	5	81223	1493	3.75	3.625	3.75	3.125	1.75	6.5	4.285714	3.5	3.75	6.625	8.375	2.625	2.25	7.125	5.25	5.0	8.0	7.9375	1.7320321
5.0	"HNS"	504.0	1	3105	3	81712	1384	3.375	2.5	3.125	2.625	1.625	7.25	2.5714285	4.5	5.625	5.571429	8.625	2.375	2.375	6.625	4.125	5.375	8.0	7.875	1.0242273
5.0	"HSU"	505.0	1		9	81957	2134	2.7142856	2.7142856	3.142857	3.6666667	2.857143	5.142857	3.5714285	4.125	3.0		7.1666665	3.0	3.8	5.0	3.2	4.714286	8.0	6.375	1.4292911
5.0	"HSS"	506.0	1	3103	11	81810	1465	3.0	3.75	4.0	2.875	2.375	4.875	4.0	5.625	4.5	4.1666665	6.875	5.25	5.125	3.375	3.0	5.375	8.0	7.75	1.7509171
