country_id	party	party_id	cee	ches_id	family	cmp_id	parlgov_id	manichean	indivisble	generalwill	peoplecentrism	antielitism	complex	emotional	lroverall	lrecon	immigration	eu	nativism	laworder	lifestyle	intradem	personalised	nr_experts	mean_expert_response	populism
7.0	"SPO"	711.0	1		5		406	5.5	5.0	4.5	7.0	7.0	2.0	5.0	2.0	2.0	0.5	1.0	8.0	9.0	2.0	2.5	5.0	11.0	7.3125	5.041529
7.0	"Svobodni"	712.0	1	2113	3		363	5.5	4.0	3.0	2.5	2.0	5.5	5.5	9.0	9.0	1.0	0.0	7.5	4.0	3.5	8.0	5.0	11.0	7.6875	2.175643
8.0	"SD"	801.0	0	201	5	13320	1629	5.0	6.0	5.0	5.0	4.0	6.0	6.0	4.0	4.0	4.0	7.0	5.0	5.0	7.0	5.0	6.0	11.0	10.1875	4.155924
8.0	"O"	802.0	0	215	1	13720	1418	8.0	7.0	8.0	8.0	8.0	3.0	8.0	6.0	5.0	1.0	2.0	9.0	9.0	3.0	2.0	8.0	11.0	10.3125	7.7513885
8.0	"V"	803.0	0	211	3	13420	1605	5.0	5.0	5.0	5.0	4.0	6.0	7.0	6.0	7.0	4.0	7.0	6.0	7.0	6.0	4.0	7.0	11.0	10.1875	3.9973073
8.0	"RGA"	804.0	0	213	6	13229	306	8.5	3.0	4.0	6.0	7.0	4.0	6.0	1.0	1.0	7.0	2.0	1.5	2.0	9.0	8.0	3.0	11.0	10.125	5.0074263
8.0	"LA"	805.0	0	218	3	13001	376	7.0	3.0	3.0	5.0	5.0	4.0	5.0	8.0	9.0	5.0	5.0	3.5	4.0	8.0	4.0	7.0	11.0	10.25	3.5876222
8.0	"A"	806.0	0		7		2567	8.0	2.0	2.5	3.0	4.5	3.5	7.0	2.0	3.0	9.0	6.0	0.5	1.0	10.0	8.0	6.0	11.0	9.75	2.9333687
8.0	"B"	807.0	0	202	3	13410	211	5.0	2.0	2.0	2.0	2.0	8.0	5.0	5.0	6.0	8.0	9.0	1.5	2.0	9.0	6.0	6.0	11.0	10.25	1.2488066
8.0	"F"	808.0	0	206	6	13230	1644	7.0	3.0	4.0	4.0	5.0	5.5	6.0	3.0	2.0	6.0	6.0	3.0	4.0	7.0	7.0	5.0	11.0	10.125	3.7788105
8.0	"C"	809.0	0	203	2	13620	590	5.5	4.0	6.0	4.5	3.0	5.5	5.0	8.0	7.0	4.0	7.0	7.0	8.0	4.0	4.0	6.0	11.0	10.25	4.004802
8.0	"D"	810.0	0		1			8.5	7.0	8.0	8.0	8.0	1.5	9.0	9.5	9.0	0.0	1.0	10.0	9.0	3.0	3.0	8.0	11.0	7.8125	7.8652654
9.0	"Ref"	901.0	1	2203	3	83430	113	6.0	4.0	3.5	1.5	0.5	7.5	6.0	7.0	8.0	5.0	9.0	5.0	3.5	7.5	6.0	6.5	10.0	10.0	1.9229012
9.0	"K"	902.0	1	2202	3	83411	1137	5.0	4.5	6.0	5.5	5.0	5.5	6.0	4.0	3.0	4.0	6.5	3.0	5.0	3.0	5.0	8.0	10.0	10.0	4.6541924
9.0	"SDE"	903.0	1	2204	5	83410	1448	4.5	3.0	4.0	3.5	2.0	8.0	4.0	3.5	3.0	6.5	9.0	2.0	2.5	8.5	8.0	6.0	10.0	10.0	2.3865116
9.0	"IRL"	904.0	1	2201	2	83611	1597	6.0	5.0	4.5	4.0	3.0	6.0	6.0	7.0	7.0	3.0	8.0	7.5	7.0	2.5	6.0	5.0	10.0	10.0	3.5844624
9.0	"EVA"	905.0	1	2208	2	83440	2409	3.5	3.0	5.0	7.5	8.0	4.0	6.0	6.5	6.0	4.0	8.0	6.0	3.5	5.0	8.0	4.0	10.0	9.6875	4.8078747
9.0	"EKRE"	906.0	1	2209	1	83720	417	9.0	8.0	9.0	9.0	9.0	2.0	10.0	9.0	5.0	0.0	2.5	10.0	9.0	0.0	3.0	9.5	10.0	9.9375	8.975465
