expert_id	country_id	nr_experts	party	party_id	intradem	personalised	manichean	indivisble	generalwill	peoplecentrism	antielitism	complex	emotional	lroverall	lrecon	immigration	eu	nativism	laworder	lifestyle	gender	accuracy	self_leftright	discipline	expertise
1004.0	1.0	13.0	"NEOS"	105.0	9	9	3	2	1	6	7	4	2	8	9	7	10	1	2	8	0	8	4	1	"1,2,15"
1005.0	1.0	13.0	"NEOS"	105.0	9	2	3	1	1	5	5	4	2	6	8	6	9	2	1	9	0	8	3	1	"3,4"
1006.0	1.0	13.0	"NEOS"	105.0	8	6	3	2	3	2	5	8	6	5	9	6	8	1	1	9	1	8	2	1	"2,3,12,13"
1007.0	1.0	13.0	"NEOS"	105.0	8	5	4	2	2	1	2	6	7	5	7	7	10	1	0	10	0	7	4	1	"1,2,3,4"
1008.0	1.0	13.0	"NEOS"	105.0	7	6	4	1	2	6	2	4	6	6	8	7	9	2	3	8	0	4	4	1	"1,4"
1009.0	1.0	13.0	"NEOS"	105.0	6	8		0	3	2	0	5	5	6	7	5	10	2	3	8	1	7	4	1	"1,7,9"
1010.0	1.0	13.0	"NEOS"	105.0	6	8	2	0	0	0	0	10	5	6	6	9	10	0	0	10	1	10	1	3	"2,3,7,13"
1011.0	1.0	13.0	"NEOS"	105.0	8	6	5	3	5	3	5	7	4	6	7	7	9	2	2	6	0	9	4	1	"2,3,4"
1012.0	1.0	13.0	"NEOS"	105.0	8	6	4	0	1	6	3	4	2	6	8	5	10	2	0	10	0	7	3	1	"2,9,11"
1013.0	1.0	13.0	"NEOS"	105.0	8	5	3	4	3	6	7	7	4	6	7	5	10	4	1	10	1	9		1	"15"
1001.0	1.0	13.0	"PILZ"	106.0	7	7	5	8	3	3	6	5	4	2	3	4	6	5	3	7	0	7	6	1	"1,2,3,4,5,7"
1002.0	1.0	13.0	"PILZ"	106.0	7	8	5	8	8	7	6	5	8	4	4	6	8	3	3	7	0	9	6	1	"4,5,15"
1003.0	1.0	13.0	"PILZ"	106.0		1					3	6	7	3		4	7		2	2	0	7	2	1	"1,7"
1004.0	1.0	13.0	"PILZ"	106.0	9	9	3	2	2	6	7	4	2	4	4	8	7	1	2	7	0	8	4	1	"1,2,15"
1005.0	1.0	13.0	"PILZ"	106.0			4	1	1	2	5		3	2	2	8		3	2	10	0	8	3	1	"3,4"
1006.0	1.0	13.0	"PILZ"	106.0										3	2			1	2	8	1	8	2	1	"2,3,12,13"
1007.0	1.0	13.0	"PILZ"	106.0							6		7	3	1	6		3	2	10	0	7	4	1	"1,2,3,4"
1008.0	1.0	13.0	"PILZ"	106.0	5	8	5	1	2	6	4	4	6	4	4	7	7	3	2	8	0	4	4	1	"1,4"
1009.0	1.0	13.0	"PILZ"	106.0	7	0		0		2	3	3	4	4	4	4	5	6	4	7	1	7	4	1	"1,7,9"
1010.0	1.0	13.0	"PILZ"	106.0	8	6	2	0	0	0	6	2	4	3	2	7	10	0	1	10	1	10	1	3	"2,3,7,13"
1011.0	1.0	13.0	"PILZ"	106.0	3	4	5	2	4	4	2	8	3	4	2	7	8	2	1	8	0	9	4	1	"2,3,4"
1012.0	1.0	13.0	"PILZ"	106.0	1	10	8	4	6	6	8	3	7	2		3			7		0	7	3	1	"2,9,11"
1013.0	1.0	13.0	"PILZ"	106.0	5	8	6	6	6	6	8	4	6	1	2	5	5	4	1	10	1	9		1	"15"
2001.0	2.0	14.0	"NVA"	201.0	3	10	9	6	3	2	7	10	10	9	10	1	2	10	10	0	0	8	5	4	"2,4"
2002.0	2.0	14.0	"NVA"	201.0	2	10	8	9	9	9	6	0	9	9	9	1	3	10	9	0	1	2	2	1	"15"
2003.0	2.0	14.0	"NVA"	201.0	7	9	6	5	5	5	7	4	7	7	7	3	6	5	7	7	0	7	4	1	"1"
2004.0	2.0	14.0	"NVA"	201.0	2	9	9	8	8	9	8	2	10	8	8	0	3	4	9	3	1	6	3	1	"3,4,7"
2005.0	2.0	14.0	"NVA"	201.0	3	10		7	6	7	4	1	9	8	8	3	6	8	8	7	0	3	4	7	"1,4"
2006.0	2.0	14.0	"NVA"	201.0	3	8	8	7	7	7	4	4	8	8	7	3	4	7	7	4	0	3		1	"1,4"
2007.0	2.0	14.0	"NVA"	201.0	3	9	8	9	7	4	7	4	7	8	7	2	4	7	8	2	0	7	2	1	"7,8,13"
2008.0	2.0	14.0	"NVA"	201.0	3	10	6	7	7	6	3	6	6	8	10	2	8	10	10	2	0	8	7	1	"1,2,4,13"
2009.0	2.0	14.0	"NVA"	201.0	6	10	8	9	10		8	0	10	8	8	0	3	9	10	2	0	6		1	"4"
2010.0	2.0	14.0	"NVA"	201.0	8	8	7	0	1	0	4	3	8	8	9	2	3		9	8	0	8	5	1	"1"
2011.0	2.0	14.0	"NVA"	201.0	6	9	8	7	7	6	6	3	8	8	8	2	4	7	8	2	1	7	4	1	"4"
2012.0	2.0	14.0	"NVA"	201.0	2	9	7	6	8	2	5	2	8	8	9	2	6	8	9	5	1	4	3	1	"1,15"
2013.0	2.0	14.0	"NVA"	201.0	7	8	6	6	6	3	6	4	8	7	8	2	4	7	8	6	0	5	3	1	"1,2,4,10,13"
2014.0	2.0	14.0	"NVA"	201.0		7	7	6	4	2	5	6	7	7	7	2	5	8	8	3	0	5	6	1	"1,2,3,4,13"
2001.0	2.0	14.0	"CDV"	202.0	4	5	2	4	2	3	3	9	2	5	5	5	10	7	6	2	0	8	5	4	"2,4"
2002.0	2.0	14.0	"CDV"	202.0	7	5	2	0	3	7	6	7	7	5	5	5	10	7	2	5	1	2	2	1	"15"
2003.0	2.0	14.0	"CDV"	202.0	7	6	3	5	5	5	3	6	3	5	6	5	8	3	6	7	0	7	4	1	"1"
