id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
biden_sotu_02_099,Biden,SOTU,02,99,"Look, the idea that in 2020, 55 of the largest corporations in America, the Fortune 500, made $40 billion in profits and paid zero in Federal taxes? Zero. Audience members.",0,30,172,3,9.0
biden_sotu_02_100,Biden,SOTU,02,100,"Boo! The President. Folks, it's simply not fair.",0,8,48,3,2.4
biden_sotu_02_101,Biden,SOTU,02,101,"But now, because of the law I signed, billion-dollar companies have to pay a minimum of 15 percent. God love them. Fifteen percent.",0,23,131,3,6.9
biden_sotu_02_102,Biden,SOTU,02,102,"That's less than a nurse pays. And let me be crystal clear. I said at the very beginning: Under my plans, as long as I'm President, nobody earning less than $400,000 will pay an additional penny in taxes.",0,38,204,3,11.4
biden_sotu_02_103,Biden,SOTU,02,103,But let's finish the job. There's more to do.,0,9,45,2,2.7
biden_sotu_02_104,Biden,SOTU,02,104,"We have to reward work, not just wealth. Pass my proposal for the billionaire minimum tax. You know, there's a thousand billionaires in America—it's up from about 600 at the beginning of my term—but no billionaire should be paying a lower tax rate than a schoolteacher or a firefighter.",0,49,286,3,14.7
biden_sotu_02_105,Biden,SOTU,02,105,"No, I mean it. Think about it. I mean, look, I know you all aren't enthusiastic about that, but think about it.",0,22,111,3,6.6
biden_sotu_02_106,Biden,SOTU,02,106,Think about it. Have you noticed? Big Oil just reported its profits.,0,12,68,3,3.6
biden_sotu_02_107,Biden,SOTU,02,107,"Record profits. Last year, they made $200 billion in the midst of a global energy crisis. I think it's outrageous.",0,20,114,3,6.0
biden_sotu_02_108,Biden,SOTU,02,108,"Why? They invested too little of that profit to increase domestic production. And when I talked to a couple of them, they say, ""We were afraid you were going to shut down all the oil wells and all the oil refineries anyway, so why should we invest in them?"" I said, ""We're going to need oil for at least another decade, and that's going to exceed""—[laughter]—and beyond that.",0,68,375,4,20.4
biden_sotu_02_109,Biden,SOTU,02,109,"We're going to need it. Production. If they had, in fact, invested in the production to keep gas prices down— instead they used the record profits to buy back their own stock, rewarding their CEOs and shareholders.",0,37,214,3,11.1
biden_sotu_02_110,Biden,SOTU,02,110,Corporations ought to do the right thing. That's why I propose we quadruple the tax on corporate stock buybacks and encourage long-term investments. They'll still make considerable profit.,0,28,188,3,8.4
