id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
trump_sotu_02_071,Trump,SOTU,02,71,[Laughter] All Americans can be proud that we have more women in the workforce than ever before. [Democratic Congresswomen joined other Members of Congress and others in another standing ovation. ] Don't sit yet.,0,34,212,3,10.2
trump_sotu_02_072,Trump,SOTU,02,72,"You're going to like this. [Laughter] And exactly one century after Congress passed the constitutional amendment giving women the right to vote, we also have more women serving in Congress than at any time before. Audience members.",0,37,231,3,11.1
trump_sotu_02_073,Trump,SOTU,02,73,The President. That's great. Really great.,0,6,42,3,1.8
trump_sotu_02_074,Trump,SOTU,02,74,"And congratulations. That's great. As part of our commitment to improving opportunity for women everywhere, this Thursday we are launching the first-ever Governmentwide initiative focused on economic empowerment for women in developing countries.",0,33,246,3,9.9
trump_sotu_02_075,Trump,SOTU,02,75,To build on—[applause ]—thank you.,0,5,34,1,1.5
trump_sotu_02_076,Trump,SOTU,02,76,"To build on our incredible economic success, one priority is paramount: reversing decades of calamitous trade policies. So bad.",0,19,127,2,5.7
trump_sotu_02_077,Trump,SOTU,02,77,"We are now making it clear to China that, after years of targeting our industries and stealing our intellectual property, the theft of American jobs and wealth has come to an end. Therefore, we recently imposed tariffs on $250 billion of Chinese goods, and now our Treasury is receiving billions and billions of dollars.",0,54,320,2,16.2
trump_sotu_02_078,Trump,SOTU,02,78,But I don't blame China for taking advantage of us; I blame our leaders and representatives for allowing this travesty to happen.,0,22,129,1,6.6
trump_sotu_02_079,Trump,SOTU,02,79,"I have great respect for President Xi, and we are now working on a new trade deal with China.",0,19,93,1,5.7
trump_sotu_02_080,Trump,SOTU,02,80,"But it must include real, structural change to end unfair trade practices, reduce our chronic trade deficit, and protect American jobs. [Applause ] Thank you. Another historic trade blunder was the catastrophe known as NAFTA.",0,35,225,3,10.5
trump_sotu_02_081,Trump,SOTU,02,81,"I have met the men and women of Michigan, Ohio, Pennsylvania, Indiana, New Hampshire, and many other States whose dreams were shattered by the signing of NAFTA.",0,27,160,1,8.1
trump_sotu_02_082,Trump,SOTU,02,82,"For years, politicians promised them they would renegotiate for a better deal, but no one ever tried, until now. Our new U.S.-Mexico-Canada Agreement, the USMCA, will replace NAFTA and deliver for American workers like they haven't had delivered to for a long time. I hope you can pass the USMCA into law so that we can bring back our manufacturing jobs in even greater numbers, expand American agriculture, protect intellectual property, and ensure that more cars are proudly stamped with our four beautiful words: Made in the U.S.A.",0,88,534,7,26.4
trump_sotu_02_083,Trump,SOTU,02,83,"Tonight I am also asking you to pass the United States Reciprocal Trade Act so that if another country places an unfair tariff on an American product, we can charge them the exact same tariff on the exact same product that they sell to us. Both parties should be able to unite for a great rebuilding of America's crumbling infrastructure. I know that Congress is eager to pass an infrastructure bill, and I am eager to work with you on legislation to deliver new and important infrastructure investment, including investments in the cutting-edge industries of the future.",0,97,571,3,29.1
trump_sotu_02_084,Trump,SOTU,02,84,"This is not an option, this is a necessity. The next major priority for me, and for all of us, should be to lower the cost of health care and prescription drugs and to protect patients with preexisting conditions. Already, as a result of my administration's efforts, in 2018, drug prices experienced their single largest decline in 46 years.",0,59,341,3,17.7
trump_sotu_02_085,Trump,SOTU,02,85,"But we must do more. It's unacceptable that Americans pay vastly more than people in other countries for the exact same drugs, often made in the exact same place. This is wrong, this is unfair, and together, we will stop it, and we'll stop it fast.",0,46,248,3,13.8
trump_sotu_02_086,Trump,SOTU,02,86,"I am asking Congress to pass legislation that finally takes on the problem of global freeloading and delivers fairness and price transparency for American patients, finally. We should also require drug companies, insurance companies, and hospitals to disclose real prices to foster competition and bring costs way down. No force in history has done more to advance the human condition than American freedom.",0,63,407,3,18.9
trump_sotu_02_087,Trump,SOTU,02,87,"In recent years, we have made remarkable progress in the fight against HIV and AIDS. Scientific breakthroughs have brought a once-distant dream within reach. My budget will ask Democrats and Republicans to make the needed commitment to eliminate the HIV epidemic in the United States within 10 years.",0,48,300,3,14.4
trump_sotu_02_088,Trump,SOTU,02,88,"We have made incredible strides. Incredible. Together, we will defeat AIDS in America and beyond.",0,15,97,3,4.5
trump_sotu_02_089,Trump,SOTU,02,89,"Tonight I am also asking you to join me in another fight that all Americans can get behind: the fight against childhood cancer. Joining Melania in the gallery this evening is a very brave 10-year-old girl, Grace Eline. Every birthday—[applause ].",0,41,246,3,12.3
